task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,shn,125,7,2,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7747252747252746,0.7941176470588235,0.7840909090909092,0.7921122994652406,0.7941176470588235,0.7747252747252746,0.7941176470588235,0.7941176470588235,0.7786046511627907,0.7923939808481532,,,,0.5576208178438662
pds,ica,shn,125,8,2,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7736842105263158,0.7941176470588235,0.825,0.8161764705882353,0.7941176470588235,0.7736842105263158,0.7941176470588235,0.7941176470588235,0.7786046511627907,0.785499316005472,,,,0.5672727272727273
pds,ica,shn,125,9,2,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8421052631578947,0.8792569659442725,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8235294117647058,0.8229166666666667,0.8253676470588235,,,,0.6565656565656566
pds,ica,shn,125,10,2,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7058823529411765,0.687719298245614,0.7058823529411765,0.7114624505928854,0.7096024180423157,0.7058823529411765,0.687719298245614,0.7058823529411765,0.7058823529411765,0.6886446886446886,0.6972635207929326,,,,0.38628158844765337
pds,ica,shn,125,1,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8529411764705882,0.8516483516483516,0.8529411764705882,0.8428571428571429,0.8563025210084033,0.8529411764705882,0.8516483516483516,0.8529411764705882,0.8529411764705882,0.8464317976513098,0.853871087730485,,,,0.6931407942238267
pds,ica,shn,125,2,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8857142857142857,0.8833333333333333,0.8857142857142857,0.8833333333333333,0.8857142857142857,0.8857142857142857,0.8833333333333333,0.8857142857142857,0.8857142857142857,0.8833333333333333,0.8857142857142857,,,,0.7666666666666666
pds,ica,shn,125,3,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8421052631578947,0.8792569659442725,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8235294117647058,0.8229166666666667,0.8253676470588235,,,,0.6565656565656566
pds,ica,shn,125,4,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8529411764705882,0.8473684210526315,0.8529411764705882,0.8535714285714285,0.8531512605042015,0.8529411764705882,0.8473684210526315,0.8529411764705882,0.8529411764705882,0.8496905393457117,0.8522910490456129,,,,0.6996466431095407
pds,ica,shn,125,5,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.8040293040293041,0.7941176470588235,0.7881944444444444,0.8118872549019607,0.7941176470588235,0.8040293040293041,0.7941176470588235,0.7941176470588235,0.7895667550839964,0.7968481822437198,,,,0.5824561403508772
pds,ica,shn,125,6,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8350877192982455,0.8235294117647058,0.8350877192982455,0.8466460268317855,0.8235294117647058,0.8350877192982455,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,,,,0.651877133105802
pds,ica,shn,125,7,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7893772893772895,0.7941176470588235,0.7821428571428571,0.798109243697479,0.7941176470588235,0.7893772893772895,0.7941176470588235,0.7941176470588235,0.7850045167118338,0.7954195228226792,,,,0.5703971119133573
pds,ica,shn,125,8,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7941176470588235,0.7807017543859649,0.7941176470588235,0.803030303030303,0.7994652406417112,0.7941176470588235,0.7807017543859649,0.7941176470588235,0.7941176470588235,0.7850045167118338,0.7902120197672564,,,,0.5734767025089605
pds,ica,shn,125,9,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8421052631578947,0.8792569659442725,0.8235294117647058,0.8571428571428572,0.8235294117647058,0.8235294117647058,0.8229166666666667,0.8253676470588235,,,,0.6565656565656566
pds,ica,shn,125,10,3,32,16,2500,0,channel_dropout,masking,0.00025,subject,0.7647058823529411,0.7543859649122806,0.7647058823529411,0.7655677655677655,0.7651368239603533,0.7647058823529411,0.7543859649122806,0.7647058823529411,0.7647058823529411,0.7571428571428571,0.7621848739495799,,,,0.5160142348754448
