task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,atc,125,2,3,32,16,2500,0,None,None,0.00025,th_standard,0.7703804347826086,0.7381892230576441,0.7703804347826086,0.7632093679409397,0.7676849273882225,0.7703804347826086,0.7381892230576441,0.7703804347826086,0.7703804347826086,0.7457685664939551,0.764684238191785,0.8607142857142858,0.8607142857142858,0.8607142857142858,0.49443974767509924
pds,ica,atc,125,3,3,32,16,2500,0,None,None,0.00025,th_standard,0.830393487109905,0.8517710822806419,0.830393487109905,0.8100391183329572,0.8619712928760109,0.830393487109905,0.8517710822806419,0.830393487109905,0.830393487109905,0.8183186114710227,0.8356683012047851,0.8884516899965859,0.8884516899965859,0.8884516899965859,0.641507671833107
pds,ica,atc,125,4,3,32,16,2500,0,None,None,0.00025,th_standard,0.7461645746164575,0.725918225918226,0.7461645746164575,0.730850938274519,0.7440098921160843,0.7461645746164575,0.725918225918226,0.7461645746164575,0.7461645746164575,0.728060450460964,0.7447945327884742,0.796950796950797,0.796950796950797,0.796950796950797,0.4563429571303588
pds,ica,atc,125,5,3,32,16,2500,0,None,None,0.00025,th_standard,0.7805194805194805,0.6799999999999999,0.7805194805194805,0.7403310344827586,0.767960591133005,0.7805194805194805,0.6799999999999999,0.7805194805194805,0.7805194805194805,0.6965782570679102,0.7649748095099304,0.7430661157024794,0.7430661157024794,0.7430661157024794,0.40101265822784815
pds,ica,atc,125,6,3,32,16,2500,0,None,None,0.00025,th_standard,0.7122207621550591,0.6955841371918542,0.7122207621550591,0.7020550978828948,0.7093764830322775,0.7122207621550591,0.6955841371918542,0.7122207621550591,0.7122207621550591,0.6978434092083435,0.7098822770372198,0.7934262236513041,0.7934262236513041,0.7934262236513041,0.3964844810915925
pds,ica,atc,125,7,3,32,16,2500,0,None,None,0.00025,th_standard,0.7678812415654521,0.7331447963800906,0.7678812415654521,0.7243068113321278,0.7731036451889217,0.7678812415654521,0.7331447963800906,0.7678812415654521,0.7678812415654521,0.7282426992358079,0.7701222898950433,0.8285241907413854,0.8285241907413854,0.8285241907413854,0.4567819148936171
pds,ica,atc,125,8,3,32,16,2500,0,None,None,0.00025,th_standard,0.7271468144044322,0.6529244237319676,0.7271468144044322,0.8038745980707396,0.7797685510951181,0.7271468144044322,0.6529244237319676,0.7271468144044322,0.7271468144044322,0.6476172779862994,0.6856430621628994,0.850805440261495,0.850805440261495,0.850805440261495,0.347065250323635
pds,ica,atc,125,9,3,32,16,2500,0,None,None,0.00025,th_standard,0.8124174372523117,0.7618348065116126,0.8124174372523117,0.782891109886006,0.8077066841682288,0.8124174372523117,0.7618348065116126,0.8124174372523117,0.8124174372523117,0.7706647892131763,0.8087980126544919,0.8610685892054714,0.8610685892054714,0.8610685892054714,0.542095488004362
pds,ica,atc,125,10,3,32,16,2500,0,None,None,0.00025,th_standard,0.6917900403768507,0.686866506067906,0.6917900403768507,0.6815789473684211,0.6985974357158037,0.6917900403768507,0.686866506067906,0.6917900403768507,0.6917900403768507,0.6829596420911803,0.6939976399482682,0.7459812432768207,0.7459812432768207,0.7459812432768207,0.367052678960036
pds,ica,atc,125,1,4,32,16,2500,0,None,None,0.00025,th_standard,0.7862903225806451,0.816473000683527,0.7862903225806451,0.7727808326787118,0.8362754352177989,0.7862903225806451,0.816473000683527,0.7862903225806451,0.7862903225806451,0.7743712986009785,0.7940272328832358,0.8807118807118807,0.8807118807118807,0.8807118807118807,0.5591037166241781
pds,ica,atc,125,2,4,32,16,2500,0,None,None,0.00025,th_standard,0.7445652173913043,0.6725563909774437,0.7445652173913043,0.8063403781979979,0.7847680998210571,0.7445652173913043,0.6725563909774437,0.7445652173913043,0.7445652173913043,0.6752656678307236,0.7111383758385535,0.7908521303258145,0.7908521303258145,0.7908521303258145,0.3890929641141566
pds,ica,atc,125,3,4,32,16,2500,0,None,None,0.00025,th_standard,0.7204884667571235,0.6142881529532264,0.7204884667571235,0.6739277271192164,0.7001361434514816,0.7204884667571235,0.6142881529532264,0.7204884667571235,0.7204884667571235,0.6199965959832603,0.6923825609470192,0.8147661317855922,0.8147661317855922,0.8147661317855922,0.26078234704112335
pds,ica,atc,125,4,4,32,16,2500,0,None,None,0.00025,th_standard,0.6806136680613668,0.6617042867042867,0.6806136680613668,0.6614778138438978,0.6808401278745914,0.6806136680613668,0.6617042867042867,0.6806136680613668,0.6806136680613668,0.6615896073488887,0.6807255743008519,0.78006303006303,0.78006303006303,0.78006303006303,0.32318060965807216
