task,pipeline,model,sampling_rate,outer_fold,inner_fold,channels,window,overlap,csp_filters,first_aug,second_aug,learning_rate,evaluation_type,accuracy_unbalanced,accuracy_weighted,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1score_micro,f1score_macro,f1score_weighted,rocauc_micro,rocauc_macro,rocauc_weighted,cohen_kappa
pds,ica,con,125,6,9,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.671484888304862,0.6283637013219007,0.671484888304862,0.6698385236447519,0.6704178772846388,0.671484888304862,0.6283637013219007,0.671484888304862,0.671484888304862,0.6253682320137368,0.6493765287345848,0.8007359771346909,0.8007359771346909,0.8007359771346909,0.27415416545851323
pds,ica,con,125,7,9,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.8164642375168691,0.8080882352941177,0.8164642375168691,0.7816352991711345,0.8300718227310165,0.8164642375168691,0.8080882352941177,0.8164642375168691,0.8164642375168691,0.7913678596863147,0.8205655910922904,0.8932561782109294,0.8932561782109294,0.8932561782109294,0.5842539954950123
pds,ica,con,125,8,9,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7839335180055401,0.7257376797171453,0.7839335180055401,0.8442933474832484,0.8219982753338246,0.7839335180055401,0.7257376797171453,0.7839335180055401,0.7839335180055401,0.7373737373737375,0.7624915137672099,0.9027808118320024,0.9027808118320024,0.9027808118320024,0.497703292096649
pds,ica,con,125,9,9,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7820343461030383,0.7266184385956249,0.7820343461030383,0.744083076268482,0.7761622298535654,0.7820343461030383,0.7266184385956249,0.7820343461030383,0.7820343461030383,0.733885142692787,0.7779969905375825,0.8770924892597898,0.8770924892597898,0.8770924892597898,0.46859564257361297
pds,ica,con,125,10,9,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7604306864064603,0.7278078269169583,0.7604306864064603,0.7613592908047975,0.7608842621521827,0.7604306864064603,0.7278078269169583,0.7604306864064603,0.7604306864064603,0.735284463019007,0.752304832560733,0.839507295122949,0.839507295122949,0.839507295122949,0.47630889119433595
pds,ica,con,125,1,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7943548387096774,0.8461178198020303,0.7943548387096774,0.7964269195189639,0.8694677680463131,0.7943548387096774,0.8461178198020303,0.7943548387096774,0.7943548387096774,0.7871372018093861,0.8019939434581609,0.9359172341628481,0.9359172341628481,0.9359172341628481,0.5903791346402971
pds,ica,con,125,2,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7595108695652174,0.7156328320802006,0.7595108695652174,0.760979193326698,0.7602323003150778,0.7595108695652174,0.7156328320802006,0.7595108695652174,0.7595108695652174,0.7249179116296257,0.7482449637241244,0.8210996240601504,0.8210996240601504,0.8210996240601504,0.4581031613976705
pds,ica,con,125,3,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.8466757123473542,0.8450110959371799,0.8466757123473542,0.8200790269705271,0.8573143864980849,0.8466757123473542,0.8450110959371799,0.8466757123473542,0.8466757123473542,0.8294865206290578,0.849540577633737,0.8926681461249573,0.8926681461249573,0.8926681461249573,0.6600317593798348
pds,ica,con,125,4,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7545327754532776,0.6875309375309375,0.7545327754532776,0.8071756756756756,0.7878995815899581,0.7545327754532776,0.6875309375309375,0.7545327754532776,0.7545327754532776,0.6939523874197241,0.726426513920469,0.8316132066132066,0.8316132066132066,0.8316132066132066,0.41878074393411824
pds,ica,con,125,5,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.6675324675324675,0.6663636363636364,0.6675324675324675,0.6388505683699371,0.721877118577262,0.6675324675324675,0.6663636363636364,0.6675324675324675,0.6675324675324675,0.6373910995997174,0.6821958357159676,0.7745123966942149,0.7745123966942149,0.7745123966942149,0.2900158478605388
pds,ica,con,125,6,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.8068331143232589,0.8088567345480528,0.8068331143232589,0.8010272303085173,0.812723141584591,0.8068331143232589,0.8088567345480528,0.8068331143232589,0.8068331143232589,0.8031567556153826,0.808070350426871,0.8884816005716327,0.8884816005716327,0.8884816005716327,0.6071602900637367
pds,ica,con,125,7,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.786774628879892,0.6828619909502263,0.786774628879892,0.7729155844155844,0.7813552061973115,0.786774628879892,0.6828619909502263,0.786774628879892,0.786774628879892,0.702134047056908,0.766203753297597,0.879707622694048,0.879707622694048,0.879707622694048,0.4179162357807652
pds,ica,con,125,8,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7922437673130194,0.7378172609367541,0.7922437673130194,0.8442789041545147,0.8241521059422382,0.7922437673130194,0.7378172609367541,0.7922437673130194,0.7922437673130194,0.7509474575023917,0.7739834942675038,0.8955395357492496,0.8955395357492496,0.8955395357492496,0.5205291445673251
pds,ica,con,125,9,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7569352708058125,0.7085576020937238,0.7569352708058125,0.712802942510203,0.7546647973243662,0.7569352708058125,0.7085576020937238,0.7569352708058125,0.7569352708058125,0.7105643753636439,0.7557109567347321,0.8750267476503218,0.8750267476503218,0.8750267476503218,0.4212057244485814
pds,ica,con,125,10,10,32,16,2500,0,add_eeg_artifact,add_band_noise,0.00025,th_standard,0.7483176312247645,0.763578928230535,0.7483176312247645,0.7524414133352681,0.7761149773029741,0.7483176312247645,0.763578928230535,0.7483176312247645,0.7483176312247645,0.7464362819438893,0.7509926747335088,0.8464994015423541,0.8464994015423541,0.8464994015423541,0.5004224840624629
pds,ica,dcn,125,1,1,32,16,2500,0,phase_swap,add_band_noise,0.00025,th_standard,0.8131720430107527,0.8478646110225058,0.8131720430107527,0.7998385266649211,0.8625060534903299,0.8131720430107527,0.8478646110225058,0.8131720430107527,0.8131720430107527,0.802752267330415,0.8199357570488665,0.9340776182881446,0.9340776182881446,0.9340776182881446,0.6145623686211369
